Раздел;Подраздел;Позиция;Бренды;Изображение;Код (symbol code);Источник
Насосное оборудование;Центробежные насосы;Центробежный насос;CNP, Wilo, Vandjord;images/nasosnoe-oborudovanie/centrobezhnye-nasosy/centrobezhnyy-nasos.png;centrobezhnyy-nasos;НАСОСНОЕ ОБОРУДОВАНИЕ 2.
Насосное оборудование;Канализационные насосы;Канализационный насос;CNP, Wilo, Vandjord;images/nasosnoe-oborudovanie/kanalizacionnye-nasosy/kanalizacionnyy-nasos.png;kanalizacionnyy-nasos;НАСОСНОЕ ОБОРУДОВАНИЕ 2.
Насосное оборудование;Насосы инлайн;Насос инлайн;Ридан, Wilo, CNP, Vandjord, IMP Pumps, Wellmix;images/nasosnoe-oborudovanie/nasosy-inlayn/nasos-inlayn.png;nasos-inlayn;НАСОСНОЕ ОБОРУДОВАНИЕ 2.
Насосное оборудование;Консольные насосы;Консольно-моноблочный насос;Wilo, CNP, Vandjord, IMP Pumps, Wellmix;images/nasosnoe-oborudovanie/konsolnye-nasosy/konsolno-monoblochnyy-nasos.png;konsolno-monoblochnyy-nasos;НАСОСНОЕ ОБОРУДОВАНИЕ 2.
Насосное оборудование;Многоступенчатые насосы;Многоступенчатый насос горизонтальный;Ридан, Wilo, CNP, Vandjord, IMP Pumps, ESPA;images/nasosnoe-oborudovanie/mnogostupenchatye-nasosy/mnogostupenchatyy-nasos-gorizontalnyy.png;mnogostupenchatyy-nasos-gorizontalnyy;НАСОСНОЕ ОБОРУДОВАНИЕ 2.
Насосное оборудование;Многоступенчатые насосы;Многоступенчатый насос вертикальный;Ридан, Wilo, CNP, Vandjord, IMP Pumps, ESPA;images/nasosnoe-oborudovanie/mnogostupenchatye-nasosy/mnogostupenchatyy-nasos-vertikalnyy.png;mnogostupenchatyy-nasos-vertikalnyy;НАСОСНОЕ ОБОРУДОВАНИЕ 2.
Насосное оборудование;Дренажные насосы;Дренажный насос;Ридан, CNP, Wilo, Vandjord, DAB;images/nasosnoe-oborudovanie/drenazhnye-nasosy/drenazhnyy-nasos.png;drenazhnyy-nasos;НАСОСНОЕ ОБОРУДОВАНИЕ 2.
Насосное оборудование;Фекальные насосы;Фекальный насос;CNP, Wilo, Vandjord;images/nasosnoe-oborudovanie/fekalnye-nasosy/fekalnyy-nasos.png;fekalnyy-nasos;НАСОСНОЕ ОБОРУДОВАНИЕ 2.
Насосное оборудование;Поверхностные насосы;Поверхностный насос;Ридан, Wilo, CNP;images/nasosnoe-oborudovanie/poverhnostnye-nasosy/poverhnostnyy-nasos.jpeg;poverhnostnyy-nasos;НАСОСНОЕ ОБОРУДОВАНИЕ 2.
Теплообменное оборудование;Пластинчатые теплообменники;Пластинчатый теплообменник;Ридан;images/teploobmennoe-oborudovanie/plastinchatye-teploobmenniki/plastinchatyy-teploobmennik.png;plastinchatyy-teploobmennik;Теплообменники РИДАН
Теплообменное оборудование;Комплектующие теплообменников;Прокладка для теплообменника;Ридан;images/teploobmennoe-oborudovanie/komplektuyuschie-teploobmennikov/prokladka-dlya-teploobmennika.png;prokladka-dlya-teploobmennika;Теплообменники РИДАН
Трубопроводная арматура;Стальная арматура;Кран шаровой стальной;Ридан, LD, Temper, Also;images/truboprovodnaya-armatura/stalnaya-armatura/kran-sharovoy-stalnoy.png;kran-sharovoy-stalnoy;Арматура Ридан, ЛД, Темпер
Трубопроводная арматура;Чугунная арматура;Обратный клапан чугунный;Tecofi, FAF, Ридан, Rushwork, Aikon, Reon;images/truboprovodnaya-armatura/chugunnaya-armatura/obratnyy-klapan-chugunnyy.png;obratnyy-klapan-chugunnyy;Арматура Ридан, ЛД, Темпер
Трубопроводная арматура;Чугунная арматура;Фильтр чугунный;Tecofi, FAF, Ридан, Rushwork, Aikon, Reon;images/truboprovodnaya-armatura/chugunnaya-armatura/filtr-chugunnyy.png;filtr-chugunnyy;Арматура Ридан, ЛД, Темпер
Трубопроводная арматура;Чугунная арматура;Антивибрационный компенсатор;Tecofi, FAF, Ридан, Rushwork, Aikon, Reon;images/truboprovodnaya-armatura/chugunnaya-armatura/antivibracionnyy-kompensator.png;antivibracionnyy-kompensator;Арматура Ридан, ЛД, Темпер
Трубопроводная арматура;Чугунная арматура;Затвор чугунный;Tecofi, FAF, Ридан, Rushwork, Aikon, Reon;images/truboprovodnaya-armatura/chugunnaya-armatura/zatvor-chugunnyy.png;zatvor-chugunnyy;Арматура Ридан, ЛД, Темпер
Трубопроводная арматура;Латунная арматура;Кран шаровой латунный;Ридан, LD, Темпер;images/truboprovodnaya-armatura/latunnaya-armatura/kran-sharovoy-latunnyy.png;kran-sharovoy-latunnyy;Арматура Ридан, ЛД, Темпер
Трубопроводная арматура;Латунная арматура;Обратный клапан латунный;Ридан, LD, Темпер;images/truboprovodnaya-armatura/latunnaya-armatura/obratnyy-klapan-latunnyy.png;obratnyy-klapan-latunnyy;Арматура Ридан, ЛД, Темпер
Трубопроводная арматура;Латунная арматура;Фильтр латунный;Ридан, LD, Темпер;images/truboprovodnaya-armatura/latunnaya-armatura/filtr-latunnyy.png;filtr-latunnyy;Арматура Ридан, ЛД, Темпер
Трубопроводная арматура;Балансировочная арматура;Комбинированный балансировочный клапан AQT-R3 (резьбовой);Ридан;images/truboprovodnaya-armatura/balansirovochnaya-armatura/kombinirovannyy-balansirovochnyy-klapan-aqt-r3-rezbovoy.png;kombinirovannyy-balansirovochnyy-klapan-aqt-r3-rezbovoy;Балансировочные клапаны РИДАН
Трубопроводная арматура;Балансировочная арматура;Комбинированный балансировочный клапан AQF-R (фланцевый);Ридан;images/truboprovodnaya-armatura/balansirovochnaya-armatura/kombinirovannyy-balansirovochnyy-klapan-aqf-r-flancevyy.png;kombinirovannyy-balansirovochnyy-klapan-aqf-r-flancevyy;Балансировочные клапаны РИДАН
Трубопроводная арматура;Балансировочная арматура;Регулятор перепада давления APT-R3;Ридан;images/truboprovodnaya-armatura/balansirovochnaya-armatura/regulyator-perepada-davleniya-apt-r3.png;regulyator-perepada-davleniya-apt-r3;Балансировочные клапаны РИДАН
Трубопроводная арматура;Балансировочная арматура;Ручной балансировочный клапан MNT-R (резьбовой);Ридан;images/truboprovodnaya-armatura/balansirovochnaya-armatura/ruchnoy-balansirovochnyy-klapan-mnt-r-rezbovoy.png;ruchnoy-balansirovochnyy-klapan-mnt-r-rezbovoy;Балансировочные клапаны РИДАН
Трубопроводная арматура;Балансировочная арматура;Ручной балансировочный клапан MVT-R2 (резьбовой);Ридан;images/truboprovodnaya-armatura/balansirovochnaya-armatura/ruchnoy-balansirovochnyy-klapan-mvt-r2-rezbovoy.png;ruchnoy-balansirovochnyy-klapan-mvt-r2-rezbovoy;Балансировочные клапаны РИДАН
Трубопроводная арматура;Балансировочная арматура;Ручной балансировочный клапан MNF-R2 (фланцевый);Ридан;images/truboprovodnaya-armatura/balansirovochnaya-armatura/ruchnoy-balansirovochnyy-klapan-mnf-r2-flancevyy.png;ruchnoy-balansirovochnyy-klapan-mnf-r2-flancevyy;Балансировочные клапаны РИДАН
Трубопроводная арматура;Предохранительная арматура;Предохранительный клапан;Valtec, Officine, Rigamonti;images/truboprovodnaya-armatura/predohranitelnaya-armatura/predohranitelnyy-klapan.png;predohranitelnyy-klapan;Противопожарные, предохранительные клапаны, полипропиленовые трубы, фитинги
Трубы и фитинги;Трубы из сшитого полиэтилена и металлопластика;Труба из сшитого полиэтилена;Usystems, Hipex, Valtec, K-Flex;images/truby-i-fitingi/truby-iz-sshitogo-polietilena-i-metalloplastika/truba-iz-sshitogo-polietilena.png;truba-iz-sshitogo-polietilena;Трубы из металлопластика, сшитый полиэтилен
Трубы и фитинги;Трубы из сшитого полиэтилена и металлопластика;Труба металлопластиковая;Usystems, Hipex, Valtec, K-Flex;images/truby-i-fitingi/truby-iz-sshitogo-polietilena-i-metalloplastika/truba-metalloplastikovaya.png;truba-metalloplastikovaya;Трубы из металлопластика, сшитый полиэтилен
Трубы и фитинги;Полипропиленовые трубы и фитинги;Полипропиленовая труба;Valtec, RTP;images/truby-i-fitingi/polipropilenovye-truby-i-fitingi/polipropilenovaya-truba.png;polipropilenovaya-truba;Противопожарные, предохранительные клапаны, полипропиленовые трубы, фитинги
Трубы и фитинги;Полипропиленовые трубы и фитинги;Фитинг полипропиленовый;Valtec, RTP;images/truby-i-fitingi/polipropilenovye-truby-i-fitingi/fiting-polipropilenovyy.png;fiting-polipropilenovyy;Противопожарные, предохранительные клапаны, полипропиленовые трубы, фитинги
Трубы и фитинги;Канализация;Канализационная труба;RTP, HL;images/truby-i-fitingi/kanalizaciya/kanalizacionnaya-truba.png;kanalizacionnaya-truba;Канализационные трубы, трапы, воронки
Трубы и фитинги;Канализация;Трап;RTP, HL;images/truby-i-fitingi/kanalizaciya/trap.png;trap;Канализационные трубы, трапы, воронки
Трубы и фитинги;Канализация;Воронка;RTP, HL;images/truby-i-fitingi/kanalizaciya/voronka.png;voronka;Канализационные трубы, трапы, воронки
Отопление;Радиаторы;Стальной панельный радиатор;Evra, Meteor, Оазис;images/otoplenie/radiatory/stalnoy-panelnyy-radiator.png;stalnoy-panelnyy-radiator;РАДИАТОРЫ, КОНВЕКТОРЫ, БАКИ
Отопление;Радиаторы;Биметаллический радиатор;Evra, Meteor, Оазис;images/otoplenie/radiatory/bimetallicheskiy-radiator.png;bimetallicheskiy-radiator;РАДИАТОРЫ, КОНВЕКТОРЫ, БАКИ
Отопление;Конвекторы;Напольный конвектор;Изотерм, Helios Therm;images/otoplenie/konvektory/napolnyy-konvektor.png;napolnyy-konvektor;РАДИАТОРЫ, КОНВЕКТОРЫ, БАКИ
Отопление;Конвекторы;Внутрипольный конвектор;Изотерм, Helios Therm;images/otoplenie/konvektory/vnutripolnyy-konvektor.png;vnutripolnyy-konvektor;РАДИАТОРЫ, КОНВЕКТОРЫ, БАКИ
Отопление;Расширительные баки;Мембранный расширительный бак;Flamco, Wester, CRUWA;images/otoplenie/rasshiritelnye-baki/membrannyy-rasshiritelnyy-bak.png;membrannyy-rasshiritelnyy-bak;РАДИАТОРЫ, КОНВЕКТОРЫ, БАКИ
Приборы учёта и КИПиА;Счётчики воды;Счётчик воды крыльчатый;Декаст, Бетар, Пульсар;images/pribory-ucheta-i-kipia/schetchiki-vody/schetchik-vody-krylchatyy.jpeg;schetchik-vody-krylchatyy;СЧЕТЧИКИ ВОДЫ
Приборы учёта и КИПиА;Счётчики воды;Счётчик воды ультразвуковой;Декаст, Бетар, Пульсар;images/pribory-ucheta-i-kipia/schetchiki-vody/schetchik-vody-ultrazvukovoy.png;schetchik-vody-ultrazvukovoy;СЧЕТЧИКИ ВОДЫ
Приборы учёта и КИПиА;Теплоучёт и энергосбережение;Теплосчётчик;ПромСервис, Взлёт, Теплоком, ТБН;images/pribory-ucheta-i-kipia/teplouchet-i-energosberezhenie/teploschetchik.png;teploschetchik;Энергосбережение
Приборы учёта и КИПиА;Теплоучёт и энергосбережение;Расходомер;ПромСервис, Взлёт, Теплоком, ТБН;images/pribory-ucheta-i-kipia/teplouchet-i-energosberezhenie/rashodomer.png;rashodomer;Энергосбережение
Приборы учёта и КИПиА;Теплоучёт и энергосбережение;Датчик;ПромСервис, Взлёт, Теплоком, ТБН;images/pribory-ucheta-i-kipia/teplouchet-i-energosberezhenie/datchik.png;datchik;Энергосбережение
Приборы учёта и КИПиА;КИПиА;Манометр;РОСМА;images/pribory-ucheta-i-kipia/kipia/manometr.png;manometr;КИП
Приборы учёта и КИПиА;КИПиА;Термометр;РОСМА;images/pribory-ucheta-i-kipia/kipia/termometr.png;termometr;КИП
Приборы учёта и КИПиА;КИПиА;Термоманометр;РОСМА;images/pribory-ucheta-i-kipia/kipia/termomanometr.png;termomanometr;КИП
Вентиляция и климат;Климатическое оборудование;Тепловентилятор;Ридан, Ballu, Веза, НормалВент, NED;images/ventilyaciya-i-klimat/klimaticheskoe-oborudovanie/teploventilyator.png;teploventilyator;КЛИМАТИЧЕСКОЕ ОБОРУДОВАНИЕ
Вентиляция и климат;Климатическое оборудование;Тепловая завеса;Ридан, Ballu, Веза, НормалВент, NED;images/ventilyaciya-i-klimat/klimaticheskoe-oborudovanie/teplovaya-zavesa.png;teplovaya-zavesa;КЛИМАТИЧЕСКОЕ ОБОРУДОВАНИЕ
Вентиляция и климат;Климатическое оборудование;Сплит-система;Ридан, Ballu, Веза, НормалВент, NED;images/ventilyaciya-i-klimat/klimaticheskoe-oborudovanie/split-sistema.png;split-sistema;КЛИМАТИЧЕСКОЕ ОБОРУДОВАНИЕ
Вентиляция и климат;Климатическое оборудование;Чиллер;Ридан, Ballu, Веза, НормалВент, NED;images/ventilyaciya-i-klimat/klimaticheskoe-oborudovanie/chiller.png;chiller;КЛИМАТИЧЕСКОЕ ОБОРУДОВАНИЕ
Вентиляция и климат;Противопожарные клапаны;Противопожарный клапан;Веза, Normalvent;images/ventilyaciya-i-klimat/protivopozharnye-klapany/protivopozharnyy-klapan.png;protivopozharnyy-klapan;Противопожарные, предохранительные клапаны, полипропиленовые трубы, фитинги
Изоляция;Теплоизоляция;Каучуковая теплоизоляция;К-Флекс;images/izolyaciya/teploizolyaciya/kauchukovaya-teploizolyaciya.jpeg;kauchukovaya-teploizolyaciya;ТЕПЛОИЗОЛЯЦИЯ ТОЛЬКО К-ФЛЕКС
Изоляция;Теплоизоляция;Цилиндр из минеральной ваты;К-Флекс, БОС;images/izolyaciya/teploizolyaciya/cilindr-iz-mineralnoy-vaty.jpeg;cilindr-iz-mineralnoy-vaty;ТЕПЛОИЗОЛЯЦИЯ ТОЛЬКО К-ФЛЕКС
Изоляция;Теплоизоляция;Подложка из вспененного полиэтилена;К-Флекс;images/izolyaciya/teploizolyaciya/podlozhka-iz-vspenennogo-polietilena.jpeg;podlozhka-iz-vspenennogo-polietilena;ТЕПЛОИЗОЛЯЦИЯ ТОЛЬКО К-ФЛЕКС
Изоляция;Теплоизоляция;Клей;К-Флекс;images/izolyaciya/teploizolyaciya/kley.png;kley;ТЕПЛОИЗОЛЯЦИЯ ТОЛЬКО К-ФЛЕКС
Изоляция;Теплоизоляция;Лента;К-Флекс;images/izolyaciya/teploizolyaciya/lenta.png;lenta;ТЕПЛОИЗОЛЯЦИЯ ТОЛЬКО К-ФЛЕКС
Изоляция;Шумоизоляция;К-Фоник;К-Флекс;images/izolyaciya/shumoizolyaciya/k-fonik.png;k-fonik;ШУМОИЗОЛЯЦИЯ ТОЛЬКО К-ФЛЕКС
Изоляция;Шумоизоляция;Цилиндр из минеральной ваты (шумоизоляция);К-Флекс;images/izolyaciya/shumoizolyaciya/cilindr-iz-mineralnoy-vaty-shumoizolyaciya.jpeg;cilindr-iz-mineralnoy-vaty-shumoizolyaciya;ШУМОИЗОЛЯЦИЯ ТОЛЬКО К-ФЛЕКС
